sample_date,weeks,sample_id,nutrients,concentration,rolling_average
1988-01-05,1,Q1,ca,4.06,3.115625
1988-01-12,2,Q1,ca,4.08,3.334
1988-01-19,3,Q1,ca,4.16,3.3593333333333333
1988-01-26,4,Q1,ca,4.41,3.4066666666666667
1988-01-29,5,Q1,ca,2.4,3.4066666666666667
1988-01-29,5,Q1,ca,2.06,3.4066666666666667
1988-01-29,5,Q1,ca,2.65,3.4066666666666667
1988-01-29,5,Q1,ca,2.63,3.4066666666666667
1988-01-29,5,Q1,ca,2.67,3.4066666666666667
1988-02-02,5,Q1,ca,2.78,3.42
1988-02-02,5,Q1,ca,2.57,3.42
1988-02-03,5,Q1,ca,NA,3.42
1988-02-04,5,Q1,ca,NA,3.42
1988-02-09,6,Q1,ca,4.09,3.4086666666666665
1988-02-10,6,Q1,ca,NA,3.4086666666666665
1988-02-16,7,Q1,ca,4.04,3.4046666666666665
1988-02-23,8,Q1,ca,4.39,3.397333333333333
1988-03-01,9,Q1,ca,4.31,3.0741176470588236
1988-03-08,10,Q1,ca,3.89,3.10375
1988-03-15,11,Q1,ca,4.02,3.111875
1988-03-23,12,Q1,ca,4.05,3.098125
1988-03-29,13,Q1,ca,3.16,3.0925
1988-03-29,13,Q1,ca,3.22,3.0925
1988-03-29,13,Q1,ca,2.72,3.0925
1988-03-29,13,Q1,ca,1.31,3.0925
1988-03-29,13,Q1,ca,1.29,3.0925
1988-03-29,13,Q1,ca,3.7,3.0925
1988-03-29,13,Q1,ca,1.38,3.0925
1988-03-29,13,Q1,ca,1.34,3.0925
1988-04-05,14,Q1,ca,2.75,3.084375
1988-04-12,15,Q1,ca,4.22,3.0376470588235294
1988-04-19,16,Q1,ca,3.82,2.867058823529412
1988-04-26,17,Q1,ca,4.3,2.7076470588235293
1988-05-03,18,Q1,ca,4.18,3.1069999999999998
1988-05-10,19,Q1,ca,3.6,3.19
1988-05-10,19,Q1,ca,NA,3.19
1988-05-10,19,Q1,ca,NA,3.19
1988-05-10,19,Q1,ca,NA,3.19
1988-05-10,19,Q1,ca,2.58,3.19
1988-05-17,20,Q1,ca,1.12,3.121
1988-05-24,21,Q1,ca,1.34,3.005
1988-05-31,22,Q1,ca,3.16,3.0620000000000003
1988-06-07,23,Q1,ca,3.58,2.9850000000000003
1988-06-14,24,Q1,ca,3.53,2.95875
1988-06-21,25,Q1,ca,2.66,3.1433333333333335
1988-06-28,26,Q1,ca,4.87,3.2644444444444445
1988-07-05,27,Q1,ca,3.41,3.3000000000000003
1988-07-12,28,Q1,ca,NA,3.2977777777777777
1988-07-19,29,Q1,ca,2.54,3.2933333333333334
1988-07-22,30,Q1,ca,3.2,3.2933333333333334
1988-07-26,30,Q1,ca,NA,2.770769230769231
1988-07-26,30,Q1,ca,2.43,2.770769230769231
1988-08-02,31,Q1,ca,3.48,2.649230769230769
1988-08-09,32,Q1,ca,3.56,2.686923076923077
1988-08-16,33,Q1,ca,3.49,2.545
1988-08-23,34,Q1,ca,3.95,2.5876923076923077
1988-08-24,34,Q1,ca,1.23,2.5876923076923077
1988-08-24,34,Q1,ca,NA,2.5876923076923077
1988-08-24,34,Q1,ca,1.79,2.5876923076923077
1988-08-24,34,Q1,ca,0.75,2.5876923076923077
1988-08-24,34,Q1,ca,1.32,2.5876923076923077
1988-08-30,35,Q1,ca,3.29,2.7246153846153844
1988-09-06,36,Q1,ca,3.9,2.6915384615384617
1988-09-13,37,Q1,ca,0.7,2.8038461538461537
1988-09-20,38,Q1,ca,3.75,2.7466666666666666
1988-09-27,39,Q1,ca,4.21,3.48625
1988-10-04,40,Q1,ca,3.05,3.61
1988-10-11,41,Q1,ca,5.02,3.665
1988-10-18,42,Q1,ca,NA,4.1049999999999995
