sample_date,weeks,sample_id,nutrients,concentration,rolling_average
1988-01-05,1,Q1,k,0.76,0.7775
1988-01-12,2,Q1,k,0.77,0.7986666666666666
1988-01-19,3,Q1,k,0.75,0.7986666666666666
1988-01-26,4,Q1,k,0.74,0.8033333333333333
1988-01-29,5,Q1,k,0.86,0.8033333333333333
1988-01-29,5,Q1,k,0.83,0.8033333333333333
1988-01-29,5,Q1,k,0.91,0.8033333333333333
1988-01-29,5,Q1,k,0.84,0.8033333333333333
1988-01-29,5,Q1,k,0.86,0.8033333333333333
1988-02-02,5,Q1,k,0.76,0.8066666666666666
1988-02-02,5,Q1,k,0.79,0.8066666666666666
1988-02-03,5,Q1,k,NA,0.8066666666666666
1988-02-04,5,Q1,k,NA,0.8066666666666666
1988-02-09,6,Q1,k,0.8,0.7893333333333333
1988-02-10,6,Q1,k,NA,0.7893333333333333
1988-02-16,7,Q1,k,0.77,0.7846666666666666
1988-02-23,8,Q1,k,0.85,0.7833333333333333
1988-03-01,9,Q1,k,0.81,0.8911764705882353
1988-03-08,10,Q1,k,0.5,0.90125
1988-03-15,11,Q1,k,0.7,0.895625
1988-03-23,12,Q1,k,0.73,0.900625
1988-03-29,13,Q1,k,0.97,0.89375
1988-03-29,13,Q1,k,1.13,0.89375
1988-03-29,13,Q1,k,0.86,0.89375
1988-03-29,13,Q1,k,1.07,0.89375
1988-03-29,13,Q1,k,1.07,0.89375
1988-03-29,13,Q1,k,1.17,0.89375
1988-03-29,13,Q1,k,1.11,0.89375
1988-03-29,13,Q1,k,1.06,0.89375
1988-04-05,14,Q1,k,0.82,0.89
1988-04-12,15,Q1,k,0.71,0.9488235294117647
1988-04-19,16,Q1,k,0.85,0.964375
1988-04-26,17,Q1,k,0.74,0.965625
1988-05-03,18,Q1,k,0.75,0.8788888888888888
1988-05-10,19,Q1,k,1.19,0.8766666666666667
1988-05-10,19,Q1,k,NA,0.8766666666666667
1988-05-10,19,Q1,k,NA,0.8766666666666667
1988-05-10,19,Q1,k,NA,0.8766666666666667
1988-05-10,19,Q1,k,1.2,0.8766666666666667
1988-05-17,20,Q1,k,NA,0.8855555555555555
1988-05-24,21,Q1,k,0.75,0.8811111111111111
1988-05-31,22,Q1,k,0.9,0.8777777777777778
1988-06-07,23,Q1,k,0.8,0.8811111111111111
1988-06-14,24,Q1,k,0.79,0.7914285714285715
1988-06-21,25,Q1,k,0.81,0.7877777777777778
1988-06-28,26,Q1,k,0.71,0.7833333333333333
1988-07-05,27,Q1,k,0.78,0.7644444444444445
1988-07-12,28,Q1,k,NA,0.7655555555555555
1988-07-19,29,Q1,k,0.73,0.7711111111111111
1988-07-22,30,Q1,k,0.82,0.7711111111111111
1988-07-26,30,Q1,k,NA,0.7623076923076924
1988-07-26,30,Q1,k,0.71,0.7623076923076924
1988-08-02,31,Q1,k,0.73,0.7676923076923077
1988-08-09,32,Q1,k,0.81,0.7607692307692308
