sample_date,weeks,sample_id,nutrients,concentration,rolling_average
1988-01-05,1,Q1,mg,2.66,1.945
1988-01-12,2,Q1,mg,2.61,2.1053333333333333
1988-01-19,3,Q1,mg,2.67,2.134
1988-01-26,4,Q1,mg,2.85,2.1706666666666665
1988-01-29,5,Q1,mg,1.48,2.1706666666666665
1988-01-29,5,Q1,mg,1.35,2.1706666666666665
1988-01-29,5,Q1,mg,1.64,2.1706666666666665
1988-01-29,5,Q1,mg,1.41,2.1706666666666665
1988-01-29,5,Q1,mg,1.59,2.1706666666666665
1988-02-02,5,Q1,mg,1.71,2.1926666666666668
1988-02-02,5,Q1,mg,1.62,2.1926666666666668
1988-02-03,5,Q1,mg,NA,2.1926666666666668
1988-02-04,5,Q1,mg,NA,2.1926666666666668
1988-02-09,6,Q1,mg,2.73,2.1566666666666667
1988-02-10,6,Q1,mg,NA,2.1566666666666667
1988-02-16,7,Q1,mg,2.67,2.164
1988-02-23,8,Q1,mg,2.94,2.17
1988-03-01,9,Q1,mg,2.96,1.9364705882352942
1988-03-08,10,Q1,mg,2.12,1.99375
1988-03-15,11,Q1,mg,2.72,1.99625
1988-03-23,12,Q1,mg,2.76,1.99
1988-03-29,13,Q1,mg,1.48,1.985625
1988-03-29,13,Q1,mg,1.47,1.985625
1988-03-29,13,Q1,mg,1.7,1.985625
1988-03-29,13,Q1,mg,1.09,1.985625
1988-03-29,13,Q1,mg,1.11,1.985625
1988-03-29,13,Q1,mg,1.49,1.985625
1988-03-29,13,Q1,mg,1.16,1.985625
1988-03-29,13,Q1,mg,1.19,1.985625
1988-04-05,14,Q1,mg,2.31,1.976875
1988-04-12,15,Q1,mg,2.77,1.9523529411764706
1988-04-19,16,Q1,mg,2.57,1.858235294117647
1988-04-26,17,Q1,mg,2.87,1.7664705882352942
1988-05-03,18,Q1,mg,2.82,2.191
1988-05-10,19,Q1,mg,2.24,2.251
1988-05-10,19,Q1,mg,NA,2.251
1988-05-10,19,Q1,mg,NA,2.251
1988-05-10,19,Q1,mg,NA,2.251
1988-05-10,19,Q1,mg,1.44,2.251
1988-05-17,20,Q1,mg,1.12,2.259
1988-05-24,21,Q1,mg,1.2,2.197
1988-05-31,22,Q1,mg,2.57,2.181
1988-06-07,23,Q1,mg,2.91,2.183
1988-06-14,24,Q1,mg,2.85,2.0766666666666667
1988-06-21,25,Q1,mg,1.95,2.188
1988-06-28,26,Q1,mg,2.71,2.233
1988-07-05,27,Q1,mg,2.84,2.266
1988-07-12,28,Q1,mg,0.54,2.267
1988-07-19,29,Q1,mg,1.84,2.267
1988-07-22,30,Q1,mg,2.47,2.267
1988-07-26,30,Q1,mg,NA,1.9653846153846153
1988-07-26,30,Q1,mg,1.65,1.9653846153846153
1988-08-02,31,Q1,mg,2.9,1.9584615384615385
1988-08-09,32,Q1,mg,2.92,1.9523076923076923
1988-08-16,33,Q1,mg,2.85,2.0284615384615385
1988-08-23,34,Q1,mg,2.71,2.058333333333333
1988-08-24,34,Q1,mg,0.86,2.058333333333333
1988-08-24,34,Q1,mg,NA,2.058333333333333
1988-08-24,34,Q1,mg,NA,2.058333333333333
1988-08-24,34,Q1,mg,0.47,2.058333333333333
1988-08-24,34,Q1,mg,0.79,2.058333333333333
1988-08-30,35,Q1,mg,2.62,2.1425
1988-09-06,36,Q1,mg,2.76,2.075
1988-09-13,37,Q1,mg,1.53,2.046666666666667
1988-09-20,38,Q1,mg,2.64,1.9736363636363636
1988-09-27,39,Q1,mg,2.66,2.43
1988-10-04,40,Q1,mg,2.09,2.4425
1988-10-11,41,Q1,mg,2.58,2.43875
1988-10-18,42,Q1,mg,NA,2.5825
1988-10-25,43,Q1,mg,2.56,2.5412500000000002
