sample_date,weeks,sample_id,nutrients,concentration,rolling_average
1988-01-05,1,Q1,nh4_n,19,23.5
1988-01-12,2,Q1,nh4_n,18,26.733333333333334
1988-01-19,3,Q1,nh4_n,21,26.599999999999998
1988-01-26,4,Q1,nh4_n,14,27.533333333333335
1988-01-29,5,Q1,nh4_n,21,27.533333333333335
1988-01-29,5,Q1,nh4_n,31,27.533333333333335
1988-01-29,5,Q1,nh4_n,27,27.533333333333335
1988-01-29,5,Q1,nh4_n,24,27.533333333333335
1988-01-29,5,Q1,nh4_n,21,27.533333333333335
1988-02-02,5,Q1,nh4_n,80,27.533333333333335
1988-02-02,5,Q1,nh4_n,17,27.533333333333335
1988-02-03,5,Q1,nh4_n,NA,27.533333333333335
1988-02-04,5,Q1,nh4_n,NA,27.533333333333335
1988-02-09,6,Q1,nh4_n,54,27.933333333333334
1988-02-10,6,Q1,nh4_n,NA,27.933333333333334
1988-02-16,7,Q1,nh4_n,20,29
1988-02-23,8,Q1,nh4_n,28,28.466666666666665
1988-03-01,9,Q1,nh4_n,18,23.64705882352941
1988-03-08,10,Q1,nh4_n,25,20.6875
1988-03-15,11,Q1,nh4_n,34,19.4375
1988-03-23,12,Q1,nh4_n,13,19.1875
1988-03-29,13,Q1,nh4_n,8,19.1875
1988-03-29,13,Q1,nh4_n,7,19.1875
1988-03-29,13,Q1,nh4_n,10,19.1875
1988-03-29,13,Q1,nh4_n,20,19.1875
1988-03-29,13,Q1,nh4_n,8,19.1875
1988-03-29,13,Q1,nh4_n,13,19.1875
1988-03-29,13,Q1,nh4_n,31,19.1875
1988-03-29,13,Q1,nh4_n,16,19.1875
1988-04-05,14,Q1,nh4_n,26,22.125
1988-04-12,15,Q1,nh4_n,34,24
1988-04-19,16,Q1,nh4_n,16,35.94117647058823
1988-04-26,17,Q1,nh4_n,28,38.88235294117648
1988-05-03,18,Q1,nh4_n,65,60.9
1988-05-10,19,Q1,nh4_n,69,64.2
1988-05-10,19,Q1,nh4_n,NA,64.2
1988-05-10,19,Q1,nh4_n,NA,64.2
1988-05-10,19,Q1,nh4_n,NA,64.2
1988-05-10,19,Q1,nh4_n,10,64.2
1988-05-17,20,Q1,nh4_n,237,67.6
1988-05-24,21,Q1,nh4_n,63,81.8
1988-05-31,22,Q1,nh4_n,61,87.77777777777777
1988-06-07,23,Q1,nh4_n,59,90.625
1988-06-14,24,Q1,nh4_n,68,107.66666666666666
1988-06-21,25,Q1,nh4_n,158,81.8
1988-06-28,26,Q1,nh4_n,NA,86.5
1988-07-05,27,Q1,nh4_n,NA,95
1988-07-12,28,Q1,nh4_n,NA,113
1988-07-19,29,Q1,nh4_n,NA,87
1988-07-22,30,Q1,nh4_n,NA,87
1988-07-26,30,Q1,nh4_n,NA,16
1988-07-26,30,Q1,nh4_n,NA,16
1988-08-02,31,Q1,nh4_n,NA,16
1988-08-09,32,Q1,nh4_n,NA,15.5
1988-08-16,33,Q1,nh4_n,16,15.5
1988-08-23,34,Q1,nh4_n,NA,26
